bucket	category	project	page_uid	page_title	content_uid	ident	dam_uid	source	target	sha256	bytes	exists	proposed_new_category
live	murals	murals-europe	866	Murals Europe	1199	rgsmoothgallery	608	fileadmin/s-maj/images/BilderMaja/1994muralsFassaden/199495MuralsTravel/blaueAanslagDenHaag2.jpg	live/murals/murals-europe/blaueAanslagDenHaag2.jpg	c5157003be0c81cc0858aaecd99cd0436bfa72a64a85ef7b2ddfc4734f2e1299	369566	True	paintings
live	paper-work	graphical-work	920	Graphical Work	1204	rgsmoothgallery	638	fileadmin/s-maj/images/BilderMaja/poster/djneugesicht3.jpg	live/paper-work/graphical-work/djneugesicht3.jpg	63edab09bfbd89421ee33dcaff1dd807fca6d33bcce667ca2f70b65ef55227e1	264009	True	paintings
live	murals	felix-und-regula	918	Felix und Regula	1202	rgsmoothgallery	599	fileadmin/s-maj/images/BilderMaja/1994muralsFassaden/1994FelixRegula/felix1.jpg	live/murals/felix-und-regula/felix1.jpg	e5492e30134b56dbb73728b1d6c10fa110fd245aaab4ca60c1d484b8ef890eba	119639	True	paintings
live	murals	wohlgroth	919	Wohlgroth	1203	rgsmoothgallery	595	fileadmin/s-maj/images/BilderMaja/1994muralsFassaden/1993Wohlgroth/WohlgrothOli1.jpg	live/murals/wohlgroth/WohlgrothOli1.jpg	415b77326d395568457c50f5887c715a064d19fa4bf1990204f76f7419a7dddb	513764	True	paintings
live	murals	wohlgroth	919	Wohlgroth	1203	rgsmoothgallery	593	fileadmin/s-maj/images/BilderMaja/1994muralsFassaden/1993Wohlgroth/WohlgrothOli2.jpg	live/murals/wohlgroth/WohlgrothOli2.jpg	1827c1330df667d63a2443e36580c6ee3f5791e92f08c727c380b68afa065841	451247	True	paintings
live	murals	wohlgroth	919	Wohlgroth	1203	rgsmoothgallery	589	fileadmin/s-maj/images/BilderMaja/1994muralsFassaden/1993Wohlgroth/Wohl.jpg	live/murals/wohlgroth/Wohl.jpg	1f9e433dfcf1642ec7974b8e5f0ae468a0a8d077703de995e86540cdcae23871	455871	True	paintings
live	murals	wohlgroth	919	Wohlgroth	1203	rgsmoothgallery	591	fileadmin/s-maj/images/BilderMaja/1994muralsFassaden/1993Wohlgroth/wohl1.jpg	live/murals/wohlgroth/wohl1.jpg	075781f959ecfca58d8478e25aa2c02d0fba8c0495264b6b7ed4d8b7b5c5438a	447128	True	paintings
live	murals	wohlgroth	919	Wohlgroth	1203	rgsmoothgallery	598	fileadmin/s-maj/images/BilderMaja/1994muralsFassaden/1993Wohlgroth/spritzen3.jpg	live/murals/wohlgroth/spritzen3.jpg	5a9f25b03a13acf480d0b0280981ddb0e7c9a0cd49c4d89595bc8a30b041bb78	346173	True	paintings
live	murals	wohlgroth	919	Wohlgroth	1203	rgsmoothgallery	597	fileadmin/s-maj/images/BilderMaja/1994muralsFassaden/1993Wohlgroth/wohl2.jpg	live/murals/wohlgroth/wohl2.jpg	2b3447aed8a4161ea44a2e24ff9e07cdd9b51baebe369acc3b6cd79f2a0bcea1	680786	True	paintings
live	murals	wohlgroth	919	Wohlgroth	1203	rgsmoothgallery	588	fileadmin/s-maj/images/BilderMaja/1994muralsFassaden/1993Wohlgroth/wohl5.jpg	live/murals/wohlgroth/wohl5.jpg	c83122e7dc2a84e5cb8d3bf3cdf494ebd1623aa5fd5f0563e54699147614b73b	324115	True	paintings
